Suspended_subscribers,CHURN,churn_binary
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,Yes,1
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
1.0,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
,No,0
,Yes,1
,Yes,1
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,No,0
,Yes,1
,No,0
